"GEOID","medgrossrent","medhhincome","medhousingv"
"17001",612,48454,120200
"17003",465,31014,53200
"17005",668,54393,115200
"17007",852,62701,145700
"17009",577,56289,88600
"17011",666,54271,106800
"17013",600,53641,110900
"17015",616,50555,99400
"17017",597,50156,76800
"17019",850,49586,154800
"17021",632,50668,87500
"17023",669,52068,87400
"17025",529,47427,77200
"17027",783,64543,142900
"17029",643,41907,93800
"17031",1044,59426,227400
"17033",605,47468,82900
"17035",560,50680,94000
"17037",887,58343,166800
"17039",562,55411,98000
"17041",674,52261,102700
"17043",1224,84442,289900
"17045",608,47873,80000
"17047",487,49632,73500
"17049",610,54655,137300
"17051",612,44541,84000
"17053",629,50851,100600
"17055",625,39454,69900
"17057",631,48599,84800
"17059",411,42450,71500
"17061",588,44502,76900
"17063",971,71598,188300
"17065",581,47293,91500
"17067",621,51460,85100
"17069",352,39524,63200
"17071",584,47428,88100
"17073",624,55755,115800
"17075",632,48857,96800
"17077",665,36008,108600
"17079",568,56523,99000
"17081",623,46109,92700
"17083",613,56320,135400
"17085",653,55532,143300
"17087",620,45743,96600
"17089",1080,74862,223400
"17091",851,56542,140100
"17093",1249,89860,214700
"17095",600,41972,81700
"17097",1127,82613,251400
"17099",736,54693,126100
"17101",608,44504,72400
"17103",695,58319,116500
"17105",655,54339,109500
"17107",683,58271,101300
"17109",630,42911,94600
"17111",1146,82230,212600
"17113",811,64573,163800
"17115",666,49052,95900
"17117",658,53890,98400
"17119",796,56536,130200
"17121",610,44679,71900
"17123",636,55173,103300
"17125",615,44695,81000
"17127",714,42168,82500
"17129",702,62368,132500
"17131",622,55649,105100
"17133",827,74410,195500
"17135",627,47807,81000
"17137",680,49353,103400
"17139",617,53979,107500
"17141",712,57655,139900
"17143",756,53063,128000
"17145",552,45864,80500
"17147",779,67360,128100
"17149",542,41387,74700
"17151",407,41139,84100
"17153",525,34655,63500
"17155",645,64741,120800
"17157",643,49717,99900
"17159",544,46454,83200
"17161",692,51426,115600
"17163",824,51103,122600
"17165",584,40722,70500
"17167",779,58687,136100
"17169",608,47321,83400
"17171",543,48542,87500
"17173",553,49807,86800
"17175",596,52284,85600
"17177",634,46427,97700
"17179",719,60874,137300
"17181",517,46716,98600
"17183",657,44930,75900
"17185",586,49716,79000
"17187",589,47278,83900
"17189",640,54520,108100
"17191",582,46405,78600
"17193",545,46279,69700
"17195",673,51969,102200
"17197",1112,80782,216400
"17199",697,48600,106400
"17201",753,51110,115900
"17203",759,69507,160300
